utfall,utfall_label,naering_col,naering_label,beta,se,r,p,r2,n
indikator_jobb12,Indikatoravvik jobb 12 mnd,ssb_undervisning,Undervisning,-145.0974,84.3031,-0.461,0.1132,0.212,13
indikator_jobb12,Indikatoravvik jobb 12 mnd,ssb_varehandel,Varehandel,-47.8202,20.7807,-0.57,0.0419,0.325,13
indikator_jobb3,Indikatoravvik jobb 3 mnd,ssb_bergverksdrift_og_utvinning,Bergverksdrift Og Utvinning,40.8055,16.4681,0.552,0.0266,0.305,16
indikator_jobb3,Indikatoravvik jobb 3 mnd,ssb_bygge__og_anlegg,Bygge  Og Anlegg,10.0484,21.3688,0.125,0.6454,0.016,16
indikator_jobb3,Indikatoravvik jobb 3 mnd,ssb_eiendom_og_tjenesteyting,Eiendom Og Tjenesteyting,16.0377,9.3433,0.417,0.1081,0.174,16
indikator_jobb3,Indikatoravvik jobb 3 mnd,ssb_elektrisitet_vann_og_renovasjon,Elektrisitet Vann Og Renovasjon,-0.046,20.363,-0.001,0.9982,0.0,16
indikator_jobb3,Indikatoravvik jobb 3 mnd,ssb_finans_og_forsikring,Finans Og Forsikring,30.9502,29.1522,0.273,0.3064,0.075,16
indikator_jobb3,Indikatoravvik jobb 3 mnd,ssb_helse__og_sosialtjenester,Helse  Og Sosialtjenester,-10.5835,21.1582,-0.133,0.6247,0.018,16
indikator_jobb3,Indikatoravvik jobb 3 mnd,ssb_industri,Industri,1.6801,30.7488,0.015,0.9572,0.0,16
indikator_jobb3,Indikatoravvik jobb 3 mnd,ssb_informasjon_og_kommunikasjon,Informasjon Og Kommunikasjon,24.5348,13.6188,0.434,0.0932,0.188,16
indikator_jobb3,Indikatoravvik jobb 3 mnd,ssb_jordbruk_skogbruk_og_fiske,Jordbruk Skogbruk Og Fiske,3.8072,16.4431,0.062,0.8202,0.004,16
indikator_jobb3,Indikatoravvik jobb 3 mnd,ssb_kultur_og_personlige_tjenester,Kultur Og Personlige Tjenester,-3.3166,17.1608,-0.052,0.8495,0.003,16
indikator_jobb3,Indikatoravvik jobb 3 mnd,ssb_offentlig_administrasjon,Offentlig Administrasjon,-20.4829,24.8372,-0.215,0.4234,0.046,16
indikator_jobb3,Indikatoravvik jobb 3 mnd,ssb_overnatting_og_servering,Overnatting Og Servering,3.5714,6.3086,0.15,0.5803,0.022,16
indikator_jobb3,Indikatoravvik jobb 3 mnd,ssb_transport_og_lagring,Transport Og Lagring,-10.9793,15.0228,-0.192,0.4769,0.037,16
indikator_jobb3,Indikatoravvik jobb 3 mnd,ssb_undervisning,Undervisning,8.5932,36.472,0.063,0.8171,0.004,16
indikator_jobb3,Indikatoravvik jobb 3 mnd,ssb_varehandel,Varehandel,-14.5623,11.6977,-0.316,0.2336,0.1,16
